A white polo shirt with red stripes on the collar and sleeve cuff neatly hung in front of a white wall, isolated product shot, studio lighting, realistic texture, garment fully visible, photo-realistic, entire garment visible, garmen centered, size m
A striped red button-up shirt neatly hung in front of a white wall, studio lighting, realistic texture, garment fully visible, photo-realistic, entire garment visible, garmen centered, size m
A light blue short-sleeved shirt with yellow banana prints on it neatly hung in front of a white wall, studio lighting, realistic texture, garment fully visible, photo-realistic, entire garment visible, garmen centered, size m
A black summer dress with colorful floral patterns neatly hung in front of a white wall, studio lighting, realistic texture, garment fully visible, photo-realistic, entire garment visible, garmen centered, size m
A plain grey cotton t-shirt,  neatly hung in front of a white wall studio lighting, realistic texture, garment fully visible, photo-realistic, entire garment visible, garmen centered, size m
A green and white striped long-sleeve shirt neatly hung in front of a white wall, studio lighting, realistic texture, garment fully visible, photo-realistic, entire garment visible, garmen centered, size m
A light pink oversized t-shirt with a small chest pocket neatly hung in front of a white wall, studio lighting, realistic texture, garment fully visible, photo-realistic, entire garment visible, garment centered, size m
A dark green flannel shirt with black checks neatly hung in front of a white wall, studio lighting, realistic texture, garment fully visible, photo-realistic, entire garment visible, garment centered, size m
A sky blue linen short-sleeve button-up shirt neatly hung in front of a white wall, studio lighting, realistic texture, garment fully visible, photo-realistic, entire garment visible, garment centered, size m
A purple sleeveless summer dress with a flowy skirt neatly hung in front of a white wall, studio lighting, realistic texture, garment fully visible, photo-realistic, entire garment visible, garment centered, size m
A charcoal grey athletic t-shirt with mesh side panels neatly hung in front of a white wall, studio lighting, realistic texture, garment fully visible, photo-realistic, entire garment visible, garment centered, size m
A mustard yellow cardigan with front buttons neatly hung in front of a white wall, studio lighting, realistic texture, garment fully visible, photo-realistic, entire garment visible, garment centered, size m
A navy blue zip-up jacket with a standing collar neatly hung in front of a white wall, studio lighting, realistic texture, garment fully visible, photo-realistic, entire garment visible, garment centered, size m
A white long-sleeve henley shirt with wooden buttons neatly hung in front of a white wall, studio lighting, realistic texture, garment fully visible, photo-realistic, entire garment visible, garment centered, size m
A teal graphic t-shirt with a minimalist mountain design neatly hung in front of a white wall, studio lighting, realistic texture, garment fully visible, photo-realistic, entire garment visible, garment centered, size m
A cream-colored knit sweater with cable patterns neatly hung in front of a white wall, studio lighting, realistic texture, garment fully visible, photo-realistic, entire garment visible, garment centered, size m
